Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,OMOP concept_name,domain_id,vocabulary_id,standard_concept,concept_code,concept_id
promiscognfxntotalscore,promis_propr_cog_function_abilities,,calc,Calculated raw total score for the PROMIS 29 cognitive function items,"sum([promiscogfxnconcscl], [promiscogfxnrememberscl])",,,,,,,,,,,," @HIDDEN, C0034380, C0392335, C2964379",,,,,,
promis29totalscore,promispropr_scores,,calc,Calculated raw total score for the PROMIS 29 subscale items,"sum([promisphysfx6totalscore], [promisanx4atotalscore], [promisdep4atotalscore], [promisfat4atotalscore], [promisslpdist6totalscore], [promispsra4atotalscore], [promispainintf4atotalscore], [promisavgpainrtngpst7dscl])",,,,,,,,,,,," @hidden, C2964379",,,,,,
proprscore,promispropr_scores,,calc,Overall PROPr score (calculated),"sum([promis29totalscore], [promiscognfxntotalscore])",,,,,,,,,,,," @hidden, C2964379",,,,,,
mspssspecpersonneed,multidimensional_scale_of_perceived_social_support,We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement. ,radio,There is a special person who is around when I am in need.,"1, Very Strongly Disagree | 2, Strongly Disagree | 3, Mildly Disagree | 4, Neutral | 5, Mildly Agree | 6, Strongly Agree | 7, Very Strongly Agree",,,,,,,,,,mspss_matrix,,"C0034380, C5392952, C0037438",,,,,,
mspssfamemosup,multidimensional_scale_of_perceived_social_support,,radio,I get the emotional help and support I need from my family.,"1, Very Strongly Disagree | 2, Strongly Disagree | 3, Mildly Disagree | 4, Neutral | 5, Mildly Agree | 6, Strongly Agree | 7, Very Strongly Agree",,,,,,,,,,mspss_matrix,,"C0034380, C5392952, C0037438",,,,,,
mspssspeccomfort,multidimensional_scale_of_perceived_social_support,,radio,I have a special person who is a real source of comfort to me.,"1, Very Strongly Disagree | 2, Strongly Disagree | 3, Mildly Disagree | 4, Neutral | 5, Mildly Agree | 6, Strongly Agree | 7, Very Strongly Agree",,,,,,,,,,mspss_matrix,,"C0034380, C5392952, C0037438",,,,,,
mspssfriendjoysor,multidimensional_scale_of_perceived_social_support,,radio,I have friends with whom I can share my joys and sorrows.,"1, Very Strongly Disagree | 2, Strongly Disagree | 3, Mildly Disagree | 4, Neutral | 5, Mildly Agree | 6, Strongly Agree | 7, Very Strongly Agree",,,,,,,,,,mspss_matrix,,"C0034380, C5392952, C0037438",,,,,,
mspssfamdecision,multidimensional_scale_of_perceived_social_support,,radio,My family is willing to help me make decisions.,"1, Very Strongly Disagree | 2, Strongly Disagree | 3, Mildly Disagree | 4, Neutral | 5, Mildly Agree | 6, Strongly Agree | 7, Very Strongly Agree",,,,,,,,,,mspss_matrix,,"C0034380, C5392952, C0037438",,,,,,
mspssfriendtalkprob,multidimensional_scale_of_perceived_social_support,,radio,I can talk about my problems with my friends.,"1, Very Strongly Disagree | 2, Strongly Disagree | 3, Mildly Disagree | 4, Neutral | 5, Mildly Agree | 6, Strongly Agree | 7, Very Strongly Agree",,,,,,,,,,mspss_matrix,,"C0034380, C5392952, C0037438",,,,,,
mspssscoreshort,multidimensional_scale_of_perceived_social_support,,calc,Total score for short form,"mean([mspssspecpersonneed], [mspssfamemosup], [mspssspeccomfort], [mspssfriendjoysor], [mspssfamdecision], [mspssfriendtalkprob])",,,,,,,,,,,," @HIDDEN, C0034380, C5392952, C0037438",,,,,,
gad2feelnervscale,generalized_anxiety_disorder_gad2,"Over the last 2 weeks, how often have you been bothered by the following problems?",radio,"Feeling nervous, anxious, or on edge","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day",,,,,,,,,,gad_2,,"C103565, C0003467, C5197676,
C3812214",,,,,,
gad2notstopwryscale,generalized_anxiety_disorder_gad2,,radio,Not being able to stop or control worrying,"0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day",,,,,,,,,,gad_2,,"C103566, C0003467, C5197676,
C3828781",,,,,,
gad2totalscore,generalized_anxiety_disorder_gad2,,calc,Total Score,"sum([gad2feelnervscale], [gad2notstopwryscale])",,,,,,,,,,,," @HIDDEN, C0003467, C5197676",,,,,,
phqlitintrstscore,phq3,"Over the last 2 weeks, how often have you been bothered by the following problems?",radio,Little interest or pleasure in doing things,"0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day",,,,,,,,,,phq_3,,"C103705, C0011570, C4701029,
C4763817",,,,,,
phqdeprssnscore,phq3,,radio,Feeling down depressed or hopeless,"0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day",,,,,,,,,,phq_3,,"C103706, C0011570, C4701029,
C4763818",,,,,,
phqbttrddthghtscore,phq3,,radio,"Thoughts that you would be better off dead, or of hurting yourself.","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day",,,,,,,,,,phq_3,,"C103713, C0011570, C4701029,
C3827834",,,,,,
masicannabisdays,modified_addiction_severity_index,,text,"How many days within the PAST 30 did you use cannabis (marijuana flower or bud, concentrated oil/distillate, dabs, edibles/tinctures) except topicals (e.g., cream or balm) and products that only contain CBD (cannabidiol)?",,,number,0,30,,,,,,,,"C1705534, C2874496, C3160814",,,,,,
masicocainedays,modified_addiction_severity_index,,text,How many days within the PAST 30 did you use cocaine or crack?,,,number,0,30,,,,,,,,"C0009170,C4481661, C1705534",,,,,,
masiheroindays,modified_addiction_severity_index,,text,How many days within the PAST 30 did you use heroin?,,,number,0,30,,,,,,,,"C0011892, C4481661, C1705534",,,,,,
masifentanyldays,modified_addiction_severity_index,,text,How many days within the PAST 30 did you use Fentanyl?,,,number,0,30,,,,,,,,"C4481661, C1705534, C0015846",,,,,,
masimethdndays,modified_addiction_severity_index,,text,How many days within the PAST 30 did you use Methadone?,,,number,0,30,,,,,,,,"C0025605, C4481661, C1705534",,,,,,
masibupedays,modified_addiction_severity_index,,text,How many days within the PAST 30 did you use Buprenorphine (suboxone/Subutex)?,,,number,0,30,,,,,,,,"C0006405, C4481661, C1705534",,,,,,
masiopiatedays,modified_addiction_severity_index,,text,How many days within the PAST 30 did you use other opiates/analgesics (Percocet/ Oxycontin/Vicodin /Morphine/Codeine)?,,,number,0,30,,,,,,,,"C0242402, C4481661, C1705534",,,,,,
masibenzodays,modified_addiction_severity_index,,text,How many days within the PAST 30 did you use Benzodiazepines (Xanax/Valium)?,,,number,0,30,,,,,,,,"C4048284, C4481661, C1705534",,,,,,
masiamphetdays,modified_addiction_severity_index,,text,"How many days within PAST 30 did you use pharmaceutical amphetamines (e.g., Adderall, Ritalin, focalin, concerta, dexedrin)?",,,number,0,30,,,,,,,,"C0002658, C0025611, C4481661, C1705534",,,,,,
masistreetamphdays,modified_addiction_severity_index,,text,"How many days within the PAST 30 did you use Amphetamines (Methamphetamine/Ecstasy /Speed
/Crank)?",,,number,0,30,,,,,,,,"C0002658, C0025611, C4481661, C1705534",,,,,,
masiotherdays,modified_addiction_severity_index,,text,How many days within the PAST 30 did you use other (write in) ,,,number,0,30,,,,,,,,"C4481661, C1705534",,,,,,
masicannabisroute_1,modified_addiction_severity_index,What methods do you use to ingest cannabis? ,radio,"Smoke bud or flower (e.g. joints, blunts, bong, hand pipe, hookah)","0, No | 1, Yes",,,,,,[masicannabisdays] > 0,,,,masi_cannibisroute,,"C1705534, C2874496, C3160814",,,,,,
masicannabisroute_2,modified_addiction_severity_index,,radio,"Vaporize (e.g., vape pen, e-cigarette, or other device)","0, No | 1, Yes",,,,,,[masicannabisdays] > 0,,,,masi_cannibisroute,,"C1705534, C2874496, C3160814",,,,,,
masicannabisroute_3,modified_addiction_severity_index,,radio,"Edibles (eg, gummies, capsules, THC-infused chocolate)","0, No | 1, Yes",,,,,,[masicannabisdays] > 0,,,,masi_cannibisroute,,"C1705534, C2874496, C3160814",,,,,,
masicannabisroute_4,modified_addiction_severity_index,,radio,"Dab (wax, shatter, amber, honeycomb, or budder)","0, No | 1, Yes",,,,,,[masicannabisdays] > 0,,,,masi_cannibisroute,,"C1705534, C2874496, C3160814",,,,,,
masicannabisroute_5,modified_addiction_severity_index,,radio,Other,"0, No | 1, Yes",,,,,,[masicannabisdays] > 0,,,,masi_cannibisroute,,"C1705534, C2874496, C3160814",,,,,,
masicannabisrouteothr,modified_addiction_severity_index,,text,"Other, specify: ",,,alpha_only,,,,[masicannabisroute_5] = '1',,,,,,"C1705534, C2874496, C3160814",,,,,,
masicocaineroute,modified_addiction_severity_index, ,radio,What is your usual route of administration for cocaine?,"1, Oral | 2, Nasal | 3, Smoking/Vape | 4, Injection | 888, not applicable",,,,,,[masicocainedays] > 0,,,,,,"C0009170,C4481661, C1705534",,,,,,
masiheroinroute,modified_addiction_severity_index, ,radio,What is your usual route of administration for heroin?,"1, Oral | 2, Nasal | 3, Smoking/Vape | 4, Injection | 888, not applicable",,,,,,[masiheroindays] > 0,,,,,,"C0011892, C4481661, C1705534",,,,,,
masifentanylrx,modified_addiction_severity_index, ,radio,Was this fentanyl prescribed to you?,"0, No | 1, Yes | 777, Don't know",,,,,,[masifentanyldays] > 0,,,,,,"C4481661, C1705534, C0015846",,,,,,
masifentanylroute,modified_addiction_severity_index,,radio,What is your usual route of administration for fentanyl?,"1, Oral | 2, Nasal | 3, Smoking/Vape | 4, Injection | 888, Not applicable",,,,,,[masifentanyldays] > 0,,,,,,"C4481661, C1705534, C0015846",,,,,,
masimethdnrx,modified_addiction_severity_index, ,radio,Was this methadone prescribed to you?,"0, No | 1, Yes | 777, Don't know",,,,,,[masimethdndays] > 0,,,,,,"C0025605, C4481661, C1705534",,,,,,
masimethdnroute,modified_addiction_severity_index,,radio,What is your usual route of administration for methadone?,"1, Oral | 2, Nasal | 3, Smoking/Vape | 4, Injection | 888, Not applicable",,,,,,[masimethdndays] > 0,,,,,,"C0025605, C4481661, C1705534",,,,,,
masibuperx,modified_addiction_severity_index, ,radio,Was this buprenorphine prescribed to you?,"0, No | 1, Yes | 777, Don't know",,,,,,[masibupedays] > 0,,,,,,"C4481661, C1705534, C0006405",,,,,,
masibuperoute,modified_addiction_severity_index,,radio,What is your usual route of administration for buprenorphine?,"1, Oral | 2, Nasal | 3, Smoking/Vape | 4, Injection | 888, Not applicable",,,,,,[masibupedays] > 0,,,,,,"C4481661, C1705534, C0006405",,,,,,
masiopiaterx,modified_addiction_severity_index, ,radio,Was this opioid prescribed to you?,"0, No | 1, Yes | 777, Don't know",,,,,,[masiopiatedays] > 0,,,,,,"C0242402, C4481661, C1705534",,,,,,
masiopiateroute,modified_addiction_severity_index,,radio,What is your usual route of administration for opioids?,"1, Oral | 2, Nasal | 3, Smoking/Vape | 4, Injection | 888, Not applicable",,,,,,[masiopiatedays] > 0,,,,,,"C0242402, C4481661, C1705534",,,,,,
masibenzorx,modified_addiction_severity_index, ,radio,Was this benzodiazepine prescribed to you?,"0, No | 1, Yes | 777, Don't know",,,,,,[masibenzodays] > 0,,,,,,"C4048284, C4481661, C1705534",,,,,,
masibenzoroute,modified_addiction_severity_index,,radio,What is your usual route of administration for benzodiazepines?,"1, Oral | 2, Nasal | 3, Smoking/Vape | 4, Injection | 888, Not applicable",,,,,,[masibenzodays] > 0,,,,,,"C4048284, C4481661, C1705534",,,,,,
masiamphetrx,modified_addiction_severity_index, ,radio,Was this amphetamine prescribed to you?,"0, No | 1, Yes | 777, Don't know",,,,,,[masiamphetdays] > 0,,,,,,"C0002658, C0025611, C4481661, C1705534",,,,,,
masiamphetroute,modified_addiction_severity_index,,radio,What is your usual route of administration for amphetamines?,"1, Oral | 2, Nasal | 3, Smoking/Vape | 4, Injection | 888, Not applicable",,,,,,[masiamphetdays] > 0,,,,,,"C0002658, C0025611, C4481661, C1705534",,,,,,
masistreetamphroute,modified_addiction_severity_index, ,radio,What is your usual route of administration for amphetamines?,"1, Oral | 2, Nasal | 3, Smoking/Vape | 4, Injection | 888, Not applicable",,,,,,[masistreetamphdays] > 0,,,,,,"C0002658, C0025611, C4481661, C1705534",,,,,,
masiotherdrugname,modified_addiction_severity_index, ,text,"Other, specify: ",,,alpha_only,,,,[masiotherdays] > 0,,,,,,"C4481661, C1705534",,,,,,
masiotherrx,modified_addiction_severity_index,,radio,Was this other drug prescribed to you?,"0, No | 1, Yes | 777, Don't know",,,,,,[masiotherdays] > 0,,,,,,"C4481661, C1705534",,,,,,
masiotherroute,modified_addiction_severity_index,,radio,What is your usual route of administration?,"1, Oral | 2, Nasal | 3, Smoking/Vape | 4, Injection | 888, Not applicable",,,,,,[masiotherdays] > 0,,,,,,"C4481661, C1705534",,,,,,
tapstobaccoproductscl,taps1_modified,"In the PAST 12 MONTHS, how often have you used any...",radio,"tobacco product (for example, cigarettes, e-cigarettes, cigars, pipes, or smokeless tobacco)?","0, Daily or Almost Daily | 1, Weekly | 2, Monthly | 3, Less Than Monthly | 4, Never",,,,,,,,,,taps1_modified,,"C1705534, C4082637, C0543414",,,,,,
tapsprescriptionmedusescl,taps1_modified,,radio,"prescription medications just for the feeling, more than prescribed or that were not prescribed for you? Prescription medications that may be used this way include: Opiate pain relievers (for example, OxyContin, Vicodin, Percocet, Methadone) Medications for anxiety or sleeping (for example, Xanax, Ativan, Klonopin) Medications for ADHD (for example, Adderall or Ritalin)?","0, Daily or Almost Daily | 1, Weekly | 2, Monthly | 3, Less Than Monthly | 4, Never",,,,,,,,,,taps1_modified,,"C5229524, C4082637",,,,,,
cigperdayscl,cigarette_and_ecigarette_use,,text,"On the average, how many cigarettes do you smoke a day? ",,,number,,,,,,,,,,"C1705534, C0459840, C3849993",,,,,,
ecigusedays,cigarette_and_ecigarette_use,,text,"In the past 30 days, how many days have you used an electronic nicotine product? (Electronic nicotine products include e-cigarettes, vape pens, personal vaporizers and mods, e-cigars, e-pipes, e-hookahs, and hookah pens.)?",,,number,0,30,,,,,,,,"C1705534, C0459840, C3849993",,,,,,
audit_usc1,alcohol_use_disorders_identification_test_audit_us,,radio,How often do you have a drink containing alcohol?,"0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, 2-3 times/week | 5, 4-6 times/week | 6, Daily","If score is 0, stop screening here.",,,,,,,,,,,"C1705534, C0552479, C4706380",,,,,,
audit_usc2,alcohol_use_disorders_identification_test_audit_us,,radio,How many drinks containing alcohol do you have on a typical day when you are drinking?,"0, 1 drink | 1, 2 drinks | 2, 3 drinks | 3, 4 drinks | 4, 5-6 drinks | 5, 7-9 drinks | 6, 10 or more drinks",,,,,,[audit_usc1] = '1' or [audit_usc1] = '2' or [audit_usc1] = '3' or [audit_usc1] = '4' or [audit_usc1] = '5' or [audit_usc1] = '6',,,,,,"C1705534, C0552479, C4706380",,,,,,
audit_usc3,alcohol_use_disorders_identification_test_audit_us,,radio,How often do you have five or more drinks on one occasion?,"0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, 2-3 times/week | 5, 4-6 times/week | 6, Daily",,,,,,[audit_usc1] = '1' or [audit_usc1] = '2' or [audit_usc1] = '3' or [audit_usc1] = '4' or [audit_usc1] = '5' or [audit_usc1] = '6',,,,,,"C1705534, C0552479, C4706380",,,,,,
audit_usc_total,alcohol_use_disorders_identification_test_audit_us,,calc,Total Score,"sum([audit_usc1], [audit_usc2], [audit_usc3])",,,,,,,,,,,,"C1705534, C0552479, C4706380, C4706350, @HIDDEN",,,,,,
opioidodnumtimes,impowr_opioid_overdose_questions,,text,"During the past 90 days, how many times did you overdose on heroin, fentanyl, or other opioids? (Overdose means that you took enough drug that it caused a life-threatening reaction)? ",,,number,,,,,,,,,,"C1705534, C0579142",,,,,,
opioidodnarcan,impowr_opioid_overdose_questions,,text,"During the past 90 days, how many times did you receive naloxone (Narcan) to reverse your overdose?",,,number,,,,,,,,,,"C1705534, C0579142, C0684237",,,,,,
moudeveryn,moud_use_impowr,,yesno,Have you ever been prescribed and taken medication to treat opioid use disorder? [illicit use should be excluded],,,,,,,,,,,,,"C5209216, C1705534",,,,,,
moud_type,moud_use_impowr, ,checkbox,Which MOUD have you received?,"1, Buprenorphine|2, Methadone|3, Naltrexone",Select all that apply,,,,,[moudeveryn] = '1',,,,,,,,,,,,
moudbup,moud_use_impowr,,calc,Buprenorphine,"if([moud_type(1)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C5209216, C1705534, C0006405",,,,,,
moudmethdn,moud_use_impowr,,calc,Methadone,"if([moud_type(2)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0025605, C5209216, C1705534",,,,,,
moudnaltrex,moud_use_impowr,,calc,Naltrexone,"if([moud_type(3)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0027360, C5209216, C1705534",,,,,,
moudbup_lifemo,moud_use_impowr, ,text,"How many months in your lifetime have you taken Buprenorphine-naloxone or buprenorphine daily sublingual (e.g., Suboxone© film or tablet, generic films or tablets, or Subutex tablets?",,,number,0,,,[moud_type(1)] = '1',,,,,,"C5209216, C1705534, C0006405",,,,,,
moudbup_6modays,moud_use_impowr,,text,"How many days in the past 6 months/since your last assessment have you used Buprenorphine-naloxone or buprenorphine daily sublingual (e.g., Suboxone© film or tablet, generic films or tablets, or Subutex tablets)?",,,number,0,,,[moud_type(1)] = '1',,,,,,"C5209216, C1705534, C0006405",,,,,,
moudbup_6modose,moud_use_impowr,,text,"In the past 6 months/since your last assessment, what has been your total dose per day of Buprenorphine-naloxone or buprenorphine daily sublingual (e.g., Suboxone© film or tablet, generic films or tablets, or Subutex tablets) ?",,,number,,,,[moud_type(1)] = '1',,,,,,"C5209216, C1705534, C0006405",,,,,,
moudbupinj_lifemo,moud_use_impowr,,text,"How many months in your lifetime have you taken Buprenorphine injection (Brixadi or Sublocade)?
",,,number,,,,[moud_type(1)] = '1',,,,,,"C5209216, C1705534, C0006405",,,,,,
moudbupinj_6modays,moud_use_impowr,,text,How many days in the past 6 months/since your last assessment have you used Buprenorphine injection (Brixadi or Sublocade)?,,,number,,,,[moud_type(1)] = '1',,,,,,"C5209216, C1705534, C0006405",,,,,,
moudbupinj_6modose,moud_use_impowr,,text,"In the past 6 months/since your last assessment, what has been your total dose per day of Buprenorphine injection (Brixadi or Sublocade)?",,,number,0,,,[moud_type(1)] = '1',,,,,,"C5209216, C1705534, C0006405",,,,,,
moudmethdn_lifemo,moud_use_impowr, ,text,How many months in your lifetime have you taken Methadone daily?,,,number,,,,"[moudmethdn] = ""1""",,,,,,"C0025605, C5209216, C1705534",,,,,,
moudmethdn_6modays,moud_use_impowr,,text,How many days in the past 6 months/since your last assessment have you used Methadone?,,,number,,,,"[moudmethdn] = ""1""",,,,,,"C0025605, C5209216, C1705534",,,,,,
moudmethdn_6modose,moud_use_impowr,,text,"In the past 6 months/since your last assessment, what has been your total dose per day of Methadone?",,,number,0,,,"[moudmethdn] = ""1""",,,,,,"C0025605, C5209216, C1705534",,,,,,
moudnaltrex_lifemo,moud_use_impowr, ,text,How many months in your lifetime have you taken Naltrexone daily (oral)?,,,number,,,,[moud_type(3)] = '1',,,,,,"C0027360, C5209216, C1705534",,,,,,
moudnaltrex_6modays,moud_use_impowr,,text,How many days in the past 6 months/since your last assessment have you used Naltrexone daily (oral)?,,,number,,,,[moud_type(3)] = '1',,,,,,"C0027360, C5209216, C1705534",,,,,,
moudnaltrex_6modose,moud_use_impowr,,text,"In the past 6 months/since your last assessment, what has been your total dose per day of Naltrexone daily (oral)?",,,number,0,,,[moud_type(3)] = '1',,,,,,"C0027360, C5209216, C1705534",,,,,,
moudnaltrexinj_lifemo,moud_use_impowr,,text,How many months in your lifetime have you taken Naltrexone monthly injection (Vivitrol)?,,,number,,,,[moud_type(3)] = '1',,,,,,"C0027360, C5209216, C1705534",,,,,,
moudnaltrexinj_6modays,moud_use_impowr,,text,How many days in the past 6 months/since your last assessment have you used Naltrexone monthly injection (Vivitrol)?,,,number,0,,,[moud_type(3)] = '1',,,,,,"C0027360, C5209216, C1705534",,,,,,
moudnaltrexinj_6modose,moud_use_impowr,,text,"In the past 6 months/since your last assessment, what has been your total dose per day of Naltrexone monthly injection (Vivitrol)?",,,number,0,,,[moud_type(3)] = '1',,,,,,"C0027360, C5209216, C1705534",,,,,,
socialdetd11a,social_drug_usetherapy_impowr,"Within the past 12 months, have you...",radio,"Been to mutual-help group meetings (such as AA, NA, CA, or SMART Recovery) for your alcohol or other drug use?","0, No | 1, Yes",,,,,,,,,,socialdrug_imp,,"C1705534, C0679842",,,,,,
socialdetd11b,social_drug_usetherapy_impowr,,radio,Been in other structured activities where no one was using alcohol or drugs?,"0, No | 1, Yes",,,,,,,,,,socialdrug_imp,,"C1705534, C0679842",,,,,,
pcptsdtraumayn,primary_care_ptsd_screening_tool_pcptsd,"Sometimes things happen to people that are unusually or especially frightening, horrible, or traumatic.
For example:
- a serious accident or fire,
- a physical or sexual assault or abuse,
- an earthquake or flood, - a war,
- seeing someone be killed or seriously injured,
- having a loved one die through homicide or suicide.",radio,Have you ever experienced this kind of event?,"0, No | 1, Yes",,,,,,,,,,pcp_ptsd,,"C0237932, C3714660",,,,,,
pcptsdthoughtyn,primary_care_ptsd_screening_tool_pcptsd,,radio,"In the last month, have you had nightmares about the event(s) or thought about the event(s) when you did not want to?","0, No | 1, Yes",,,,,,[pcptsdtraumayn] = '1',,,,pcp_ptsd,,"C0237932, C3714660",,,,,,
pcptavoidanceyn,primary_care_ptsd_screening_tool_pcptsd,,radio,"In the last month, have you tried hard not to think about the event(s) or went out of your way to avoid situations that reminded you of the event(s)?","0, No | 1, Yes",,,,,,[pcptsdtraumayn] = '1',,,,pcp_ptsd,,"C0237932, C3714660",,,,,,
pcptsdhypervigyn,primary_care_ptsd_screening_tool_pcptsd,,radio,"In the last month, have you been constantly on guard, watchful, or easily startled?","0, No | 1, Yes",,,,,,[pcptsdtraumayn] = '1',,,,pcp_ptsd,,"C0237932, C3714660",,,,,,
pcptsddetachyn,primary_care_ptsd_screening_tool_pcptsd,,radio,"In the last month, have you felt numb or detached from people, activities, or your surroundings?","0, No | 1, Yes",,,,,,[pcptsdtraumayn] = '1',,,,pcp_ptsd,,"C0237932, C3714660",,,,,,
pcptsdguiltyn,primary_care_ptsd_screening_tool_pcptsd,,radio,"In the last month, have you felt guilty or unable to stop blaming yourself or others for the events(s) or any problems the event(s) may have caused?","0, No | 1, Yes",,,,,,[pcptsdtraumayn] = '1',,,,pcp_ptsd,,"C0237932, C3714660",,,,,,
pcptsd5score,primary_care_ptsd_screening_tool_pcptsd,,calc,Overall score,"sum([pcptsdthoughtyn], [pcptavoidanceyn], [pcptsdhypervigyn], [pcptsddetachyn], [pcptsdguiltyn])",,,,,,,,,,,," @HIDDEN, C0237932, C3714660",,,,,,
pds1,impowr_perceived_discrimination_scale,"How often have you been discriminated against, prevented from doing something, or hassled or made to feel inferior because of ...",radio,"your race, ethnicity, or skin color?","1, Very often | 2, Somewhat often | 3, Not very often | 4, Never | 5, Not Sure",,,,,,,,,,impowr_pds,,"C2987623, C5544536, C0548865",,,,,,
pds2,impowr_perceived_discrimination_scale,,radio,"your sexual orientation (for example, gay, lesbian, bisexual) or gender identity (for example, feeling that you are a different gender than your gender at birth)?","1, Very often | 2, Somewhat often | 3, Not very often | 4, Never | 5, Not Sure",,,,,,,,,,impowr_pds,,"C2987623, C5544536, C0548865",,,,,,
pds3,impowr_perceived_discrimination_scale,,radio,your chronic pain?,"1, Very often | 2, Somewhat often | 3, Not very often | 4, Never | 5, Not Sure",,,,,,,,,,impowr_pds,,"C2987623, C5544536, C0548865",,,,,,
pds4,impowr_perceived_discrimination_scale,,radio,your opioid use disorder or opioid use?,"1, Very often | 2, Somewhat often | 3, Not very often | 4, Never | 5, Not Sure",,,,,,,,,,impowr_pds,,"C2987623, C5544536, C0548865",,,,,,
covhad,impowr_covid,,radio,Which of the following statements best describes your personal experience with the coronavirus/COVID-19? ,"1, I think I had the coronavirus | 2, I don't think I had the coronavirus | 3, Unsure",,,,,,,,,,,,"C5203670, C4525978",,,,,,
covsx,impowr_covid,,radio,"If you think you had the coronavirus/COVID-19, which answers describe your personal experience?","1, Positive test and had symptoms | 2, Positive test and had NO symptoms | 3, Experienced symptoms but was not tested | 4, Prefer not to answer | 5, Unsure",,,,,,[covhad] = '1',,,,,,"C5203670, C4525978",,,,,,
covidcp,impowr_covid,"If the coronavirus/COVID-19 pandemic has affected your OUD or chronic pain, please described the impact of the pandemic has had on your symptoms/experience/treatment/management: ",radio,Chronic pain,"1, Made chronic pain A LOT WORSE | 2, Made chronic pain A LITTLE WORSE | 3, DID NOT AFFECT my chronic pain | 4, IMPROVED my chronic pain A LITTLE | 5, IMPROVED my chronic pain A LOT | 6, Prefer not to answer",,,,,,,,,,,,"C5203670, C4525978, C0150055",,,,,,
covoud,impowr_covid,,radio,Opioid use/Opioid Use Disorder (OUD) ,"1, Made OUD A LOT WORSE | 2, Made OUD A LITTLE WORSE | 3, DID NOT AFFECT my OUD | 4, IMPROVED my OUD | 5, IMPROVED my OUD A LOT | 6, Prefer not to answer",,,,,,,,,,,,"C5203670, C4525978, C4324621",,,,,,
covcpaccess,impowr_covid,"If the coronavirus/COVID-19 pandemic has affected your access to care, how has it impacted your access to care for:",radio,Chronic pain treatment,"1, Made chronic pain access A LOT WORSE | 2, Made chronic pain access A LITTLE WORSE | 3, DID NOT AFFECT my chronic pain access | 4, IMPROVED my chronic pain access A LITTLE | 5, IMPROVED my chronic pain access A LOT | 6, Prefer not to answer",,,,,,,,,,,,"C5203670, C4525978, C0150055",,,,,,
covoudaccess,impowr_covid,,radio,Opioid use/Opioid Use Disorder (OUD) treatment,"1, Made OUD access A LOT WORSE | 2, Made OUD access A LITTLE WORSE | 3, DID NOT AFFECT my OUD access | 4, IMPROVED my OUD access | 5, IMPROVED my OUD access A LOT | 6, Prefer not to answer",,,,,,,,,,,,"C5203670, C4525978, C4324621",,,,,,
susms01paindiscrim,substance_use_stigma_mechanism_scale_susms_for_imp,,yesno,"Have you been discriminated against, prevented from doing something, hassled or made to feel inferior because of your chronic pain?",,,,,,,,,,,,,"C3825632, C1705534, C2987623, C0548865",,,,,,
susms02alcoholdiscrim,substance_use_stigma_mechanism_scale_susms_for_imp,,yesno,"Have you been discriminated against, prevented from doing something, hassled or made to feel inferior because of your opioid, alcohol, or other drug use?  ",,,,,,,,,,,,,"C3825632, C1705534, C2987623, C0548865",,,,,,
susms_enfamtrust,substance_use_stigma_mechanism_scale_susms_for_imp,How often have people treated you this way in the past because of your chronic pain or alcohol/drug use history (including prescription pain medication)?,radio,Family members have thought that I cannot be trusted,"0, Never|1, Not often|2, Somewhat often|3, Often|4, Very often",,,,,,,,,,susms_enacted,,"C0548865, C3825632, C1705534, C2987623",,,,,,
susms_enlookdown,substance_use_stigma_mechanism_scale_susms_for_imp,,radio,Family members have looked down on me,"0, Never|1, Not often|2, Somewhat often|3, Often|4, Very often",,,,,,,,,,susms_enacted,,"C0548865, C3825632, C1705534, C2987623",,,,,,
susms_entreatdifferent,substance_use_stigma_mechanism_scale_susms_for_imp,,radio,Family members have treated me differently,"0, Never|1, Not often|2, Somewhat often|3, Often|4, Very often",,,,,,,,,,susms_enacted,,"C0548865, C3825632, C1705534, C2987623",,,,,,
susms_ennotlisten,substance_use_stigma_mechanism_scale_susms_for_imp,,radio,Healthcare workers have not listened to my concerns,"0, Never|1, Not often|2, Somewhat often|3, Often|4, Very often",,,,,,,,,,susms_enacted,,"C0548865, C3825632, C1705534, C2987623",,,,,,
